symbol	meaning	description	human_family	human_family_title	catalog_group	path
USDIDR+	US Dollar vs Indonesian Rupiah	US Dollar vs Indonesian Rupiah	forex	FX	forex	Forex+\Forex Minor\Forex Minor -CFD\USDIDR+
USDILS	US dollar vs Israeli Shekel	US dollar vs Israeli Shekel	forex	FX	forex	Forex Major\Forex Major\USDILS
USDILS+	US dollar vs Israeli Shekel	US dollar vs Israeli Shekel	forex	FX	forex	Forex+\Forex Minor\Forex Minor -CFD\USDILS+
USDINR	US Dollar vs Indian Rupee	US Dollar vs Indian Rupee	forex	FX	forex	Forex Major\Forex Exotic2\USDINR
USDINR+	US Dollar vs Indian Rupee	US Dollar vs Indian Rupee	forex	FX	forex	Forex+\Forex Minor\Forex Minor -CFD\USDINR+
USDJPY	US Dollar vs Japanese Yen	US Dollar vs Japanese Yen	forex	FX	indices	Forex Major\Forex Major\USDJPY
USDJPY+	US Dollar vs Japanese Yen	US Dollar vs Japanese Yen	forex	FX	indices	Forex+\Forex Major\USDJPY+
USDKRW	US Dollar vs South Korean won	US Dollar vs South Korean won	forex	FX	forex	Forex Major\Forex Major\USDKRW
USDKRW+	US Dollar vs South Korean won	US Dollar vs South Korean won	forex	FX	forex	Forex+\Forex Minor\Forex Minor -CFD\USDKRW+
USDMXN+	US Dollar vs Mexican Peso	US Dollar vs Mexican Peso	forex	FX	forex	Forex+\Forex Exotic\USDMXN+
USDNOK+	US Dollar vs Norwegian Krone	US Dollar vs Norwegian Krone	forex	FX	forex	Forex+\Forex Minor\Forex Minor -Forex\USDNOK+
USDPLN	US Dollar vs Polish Zloty	US Dollar vs Polish Zloty	forex	FX	forex	Forex Major\Forex Exotic2\USDPLN
USDPLN+	US Dollar vs Polish Zloty	US Dollar vs Polish Zloty	forex	FX	forex	Forex+\Forex Minor\Forex Minor -Forex\USDPLN+
USDSEK+	US Dollar vs Swedish Krona	US Dollar vs Swedish Krona	forex	FX	forex	Forex+\Forex Minor\Forex Minor -Forex\USDSEK+
USDSGD	US Dollar vs Singapore Dollar	US Dollar vs Singapore Dollar	forex	FX	forex	Forex Major\Forex Minor\USDSGD
USDSGD+	US Dollar vs Singapore Dollar	US Dollar vs Singapore Dollar	forex	FX	forex	Forex+\Forex Minor\Forex Minor -Forex\USDSGD+
USDTHB	United States Dollar vs Thai Baht	United States Dollar vs Thai Baht	forex	FX	forex	Forex Major\Forex Major\USDTHB
USDTHB+	United States Dollar vs Thai Baht	United States Dollar vs Thai Baht	forex	FX	forex	Forex+\Forex Minor\Forex Minor -CFD\USDTHB+
USDTRY+	US Dollar vs Turkish Lira	US Dollar vs Turkish Lira	forex	FX	forex	Forex+\Forex Minor\Forex Minor -CFD\USDTRY+
USDTWD	US Dollar vs Taiwan Dollar	US Dollar vs Taiwan Dollar	forex	FX	forex	Forex Major\Forex Major\USDTWD
USDTWD+	US Dollar vs Taiwan Dollar	US Dollar vs Taiwan Dollar	forex	FX	forex	Forex+\Forex Minor\Forex Minor -CFD\USDTWD+
USDZAR	US Dollar vs South African Rand	US Dollar vs South African Rand	forex	FX	forex	Forex Major\Forex Exotic\USDZAR
USDZAR+	US Dollar vs South African Rand	US Dollar vs South African Rand	forex	FX	forex	Forex+\Forex Exotic\USDZAR+
USTUSD	""	""	forex	FX	forex	Forex Major\Forex Minor\USTUSD
BVSPX	Bovespa Cash CFD (BRL)	Bovespa Cash CFD (BRL)	indices	Indices	indices	CFDs\Indices Minor\BVSPX
CHINA50	China A50 Index Cash CFD (USD)	China A50 Index Cash CFD (USD)	indices	Indices	indices	CFDs\Indices Minor\CHINA50
CHINAH	Hong Kong China H-shares Cash	Hong Kong China H-shares Cash	indices	Indices	indices	CFDs\Indices Minor\CHINAH
DJ30	Dow Jones Index Cash CFD (USD)	Dow Jones Index Cash CFD (USD)	indices	Indices	indices	CFDs\Indices Major\DJ30
ES35	ES35 Index Cash	ES35 Index Cash	indices	Indices	indices	CFDs\Indices Minor\ES35
EU50	EUSTX50 Cash	EUSTX50 Cash	indices	Indices	indices	CFDs\Indices Major\EU50
FRA40	France 40 Index	France 40 Index	indices	Indices	indices	CFDs\Indices Major\FRA40
GER40	GER40 Cash	GER40 Cash	indices	Indices	indices	CFDs\Indices Major\GER40
HK50	Hang Seng Index Cash CFD (HKD)	Hang Seng Index Cash CFD (HKD)	indices	Indices	indices	CFDs\Indices Minor\HK50
HKTECH	Hang Seng TECH Index CASH CFD (HKD)	Hang Seng TECH Index CASH CFD (HKD)	indices	Indices	indices	CFDs\Indices Minor\HKTECH
NAS100	NAS100 Cash	NAS100 Cash	indices	Indices	indices	CFDs\Indices Major\NAS100
NETH25	Netherlands 25 Cash	Netherlands 25 Cash	indices	Indices	crypto	CFDs\Indices Minor\NETH25
Nikkei225	Nikkei Index Cash CFD (JPY)	Nikkei Index Cash CFD (JPY)	indices	Indices	indices	Nikkei\Nikkei225
SA40	South Africa 40 - CASH	South Africa 40 - CASH	indices	Indices	indices	CFDs\Indices Minor\SA40
SGP20	Singapore 20 Index Cash CFD	Singapore 20 Index Cash CFD	indices	Indices	indices	CFDs\Indices Minor\SGP20
SP500	S&P Index Cash CFD (USD)	S&P Index Cash CFD (USD)	indices	Indices	indices	CFDs\Indices Major\SP500
SPI200	S&P/ASX 200 Index Cash CFD (AUD)	S&P/ASX 200 Index Cash CFD (AUD)	indices	Indices	indices	CFDs\Indices Major\SPI200
SWI20	Switzerland 20 Cash	Switzerland 20 Cash	indices	Indices	indices	CFDs\Indices Minor\SWI20
TWINDEX	Taiwan RIC Index Cash CFD	Taiwan RIC Index Cash CFD	indices	Indices	indices	CFDs\Indices Minor\TWINDEX
UK100	UK 100 Cash	UK 100 Cash	indices	Indices	indices	CFDs\Indices Major\UK100
US2000	US SMALL CAP 2000 - CASH	US SMALL CAP 2000 - CASH	indices	Indices	indices	CFDs\Indices Minor\US2000
COPPER-C	Copper	Copper	metals	Metals	custom	Commodities\COPPER-C
XAGAUD	Silver vs Australian Dollar	Silver vs Australian Dollar	metals	Metals	commodities	Silver\XAGAUD
XAGUSD	Silver US Dollar	Silver US Dollar	metals	Metals	commodities	Silver\XAGUSD
XAUAUD+	Gold vs Australian Dollar	Gold vs Australian Dollar	metals	Metals	commodities	Gold+\XAUAUD+
XAUEUR+	Gold / Euro	Gold / Euro	metals	Metals	commodities	Gold+\XAUEUR+
XAUJPY+	Gold vs Japanese Yen	Gold vs Japanese Yen	metals	Metals	commodities	Gold+\XAUJPY+
XAUUSD+	Gold US Dollar	Gold US Dollar	metals	Metals	commodities	Gold+\XAUUSD+
XPDUSD	Palladium - Cash	Palladium - Cash	metals	Metals	indices	Commodities\XPDUSD
XPTUSD	Platinum vs US Dollar	Platinum vs US Dollar	metals	Metals	forex	Commodities\XPTUSD
OJ-C	Orange Juice - Cash	Orange Juice - Cash	commodities_other	Other Commodities	indices	Commodities\OJ-C
Soybean-C	Soybean - Cash	Soybean - Cash	commodities_other	Other Commodities	indices	Commodities\Soybean-C
Cocoa-C	US Cocoa - Cash	US Cocoa - Cash	softs_agri	Softs / Agriculture	indices	Commodities\Cocoa-C
Coffee-C	Coffee Arabica - Cash	Coffee Arabica - Cash	softs_agri	Softs / Agriculture	indices	Commodities\Coffee-C
Cotton-C	Cotton - Cash	Cotton - Cash	softs_agri	Softs / Agriculture	indices	Commodities\Cotton-C
Sugar-C	Sugar Raw - Cash	Sugar Raw - Cash	softs_agri	Softs / Agriculture	indices	Commodities\Sugar-C
Wheat-C	US Wheat (SRW) - Cash	US Wheat (SRW) - Cash	softs_agri	Softs / Agriculture	indices	Commodities\Wheat-C
AALG	AMERICAN AIRLINES GROUP INC	AMERICAN AIRLINES GROUP INC	stocks	US Stocks	stocks	Stocks\US\AALG
AAPL	Apple Inc.	Apple Inc.	stocks	US Stocks	stocks	Stocks\US\AAPL
ABBVIE	ABBVIE INC	ABBVIE INC	stocks	US Stocks	stocks	Stocks\US\ABBVIE
ABNB	Airbnb Inc	Airbnb Inc	stocks	US Stocks	stocks	Stocks\US\ABNB
ACN	Accenture PLC - Class A	Accenture PLC - Class A	stocks	US Stocks	stocks	Stocks\US\ACN
ADBE	Adobe Inc	Adobe Inc	stocks	US Stocks	stocks	Stocks\US\ADBE
AFG	American Financial Group Inc	American Financial Group Inc	stocks	US Stocks	stocks	Stocks\US\AFG
ALIBABA	ALIBABA GROUP HOLDING-SP ADR	ALIBABA GROUP HOLDING-SP ADR	stocks	US Stocks	stocks	Stocks\US\ALIBABA
AMAT	Applied Materials Inc	Applied Materials Inc	stocks	US Stocks	stocks	Stocks\US\AMAT
AMAZON	AMAZON.COM INC	AMAZON.COM INC	stocks	US Stocks	stocks	Stocks\US\AMAZON
AMD	Advanced Micro Devices / AMD	Advanced Micro Devices / AMD	stocks	US Stocks	stocks	Stocks\US\AMD
AMGN	Amgen Inc	Amgen Inc	stocks	US Stocks	stocks	Stocks\US\AMGN
APP	AppLovin Corp - Class A	AppLovin Corp - Class A	stocks	US Stocks	stocks	Stocks\US\APP
ASML-US	ASML Holding NV	ASML Holding NV	stocks	US Stocks	stocks	Stocks\US\ASML-US
AT&T	AT&T INC	AT&T INC	stocks	US Stocks	stocks	Stocks\US\AT&T
